"park_count_cat","Count","Mean_Price","Median_Price","SD_Price"
"None",6524,628011.135484365,592000,144197.323501695
"1 park",965,626038.925264248,566888,149274.878921376
"2 parks",782,667732.710997442,660000,87435.8469533464
