"Metric","Mean","Median","SD","Min","Max"
"Distance to Nearest Park (m)",2043.54847315161,1794.02352720618,1160.18822419661,33.6889851458693,5600.37158756294
"Distance to Nearest Connector (m)",441.493483698719,162.186263522712,756.488892557283,0.125017578510989,4609.87735570915
"Parks within 500m",0.083424011606819,0,0.35909961163322,0,2
"Parks within 1km",0.305767138193689,0,0.6335744271329,0,2
"Connector Length within 500m (m)",2078.5737346425,1527.81633417512,2026.39481850577,0,9090.40323732496
"Connector Length within 1km (m)",7542.55365283979,6414.29453340355,5824.36090087826,0,22113.4275788199
