"","resale_price","dist_to_park_m","dist_to_connector_m","parks_within_500m","parks_within_1km","connector_length_500m","connector_length_1km"
"resale_price",1,-0.0225552576183564,-0.260282757547473,0.032886918282581,0.0694868420316947,0.115691412615831,0.13620747036743
"dist_to_park_m",-0.0225552576183564,1,0.282721390104424,-0.33623999868787,-0.580179641371613,-0.407269043016952,-0.444000442246472
"dist_to_connector_m",-0.260282757547473,0.282721390104424,1,-0.108404304052739,-0.194931224897096,-0.472977950090775,-0.530330939414262
"parks_within_500m",0.032886918282581,-0.33623999868787,-0.108404304052739,1,0.506505584059802,0.378019355360528,0.245111224398322
"parks_within_1km",0.0694868420316947,-0.580179641371613,-0.194931224897096,0.506505584059802,1,0.449613271591359,0.411078443224704
"connector_length_500m",0.115691412615831,-0.407269043016952,-0.472977950090775,0.378019355360528,0.449613271591359,1,0.886791271346523
"connector_length_1km",0.13620747036743,-0.444000442246472,-0.530330939414262,0.245111224398322,0.411078443224704,0.886791271346523,1
