"lisa_cluster","Count","Mean_Price","Mean_Dist_Park","Mean_Parks_1km","Mean_Connector_Length_1km"
"High-High",1427,879464.839453399,2268.80773766259,0.269096005606167,7767.82783312223
"High-Low",7,662698.285714286,2052.84685361236,0.285714285714286,6721.83808707728
"Not Significant",4857,609477.713790406,1798.14092814696,0.371422688902615,8709.52426234666
"Low-High",71,559781.915492958,2300.06147904414,0.267605633802817,7430.39261425301
"Low-Low",1909,504885.387637507,2489.97171230766,0.167627029858565,4412.25817723058
