"buffer_zone","Count","Mean_Price","Median_Price","SD_Price","Min_Price","Max_Price","Pct_of_Total"
"0-250m",74,648917.621621622,651500,132555.982847538,445000,1020000,0.894692298391972
"250m-500m",395,630596.587341772,640000,105182.329483391,426888,1e+06,4.77572240357877
"500m-1km",1261,650611.586740682,622888,132391.120691799,410000,1080000,15.2460403820578
"Beyond 1km",6541,627719.373780767,592000,144160.139560148,392000,1380000,79.0835449159715
