"park_proximity","Count","Mean_Price","Median_Price","SD_Price"
"<300m",125,630690.944,628000,117856.224442238
"300-600m",519,649825.398843931,660000,112713.874270605
"600-1000m",1084,645739.152103321,618888,134126.627086483
">1000m",6543,627749.075332415,592000,144154.236230969
