"Buffer_Zone","Area_sq_km","Pct_of_Singapore","Transactions","Mean_Price"
"0-250m",4.71023606186532,0.600090761211093,74,648917.621621622
"250m-500m",13.8339275286888,1.76246200661595,395,630596.587341772
"500m-1km",54.282078222152,6.91561382754805,1261,650611.586740682
