"Model","R_Squared","Adj_R_Squared","AICc","Note"
"Global OLS",0.25276549766992,0.252222975039961,217197.634737646,"Constant coefficients across space"
"GWR",0.846546290836701,0.844489847974109,204270.090885517,"Coefficients vary by location"
